Bloc : 0,0 | Moyenne : 79.536133
Bloc : 0,1 | Moyenne : 75.106445
Bloc : 0,2 | Moyenne : 71.666016
Bloc : 0,3 | Moyenne : 58.023438
Bloc : 0,4 | Moyenne : 69.230469
Bloc : 0,5 | Moyenne : 71.980469
Bloc : 0,6 | Moyenne : 45.867188
Bloc : 0,7 | Moyenne : 45.463867
Bloc : 0,8 | Moyenne : 39.712891
Bloc : 0,9 | Moyenne : 37.005859
Bloc : 0,10 | Moyenne : 33.260742
Bloc : 0,11 | Moyenne : 40.209961
Bloc : 0,12 | Moyenne : 51.403320
Bloc : 0,13 | Moyenne : 63.026367
Bloc : 0,14 | Moyenne : 58.952148
Bloc : 0,15 | Moyenne : 55.854492
Bloc : 0,16 | Moyenne : 68.700195
Bloc : 0,17 | Moyenne : 85.123047
Bloc : 0,18 | Moyenne : 88.375977
Bloc : 0,19 | Moyenne : 85.461914
Bloc : 0,20 | Moyenne : 81.305664
Bloc : 0,21 | Moyenne : 72.498047
Bloc : 0,22 | Moyenne : 72.669922
Bloc : 0,23 | Moyenne : 67.995117
Bloc : 0,24 | Moyenne : 53.866211
Bloc : 0,25 | Moyenne : 61.619141
Bloc : 0,26 | Moyenne : 72.538086
Bloc : 0,27 | Moyenne : 70.889648
Bloc : 0,28 | Moyenne : 81.458008
Bloc : 0,29 | Moyenne : 69.910156
Bloc : 0,30 | Moyenne : 61.409180
Bloc : 0,31 | Moyenne : 52.921875
Bloc : 1,0 | Moyenne : 80.853516
Bloc : 1,1 | Moyenne : 79.899414
Bloc : 1,2 | Moyenne : 78.792969
Bloc : 1,3 | Moyenne : 52.555664
Bloc : 1,4 | Moyenne : 57.318359
Bloc : 1,5 | Moyenne : 71.088867
Bloc : 1,6 | Moyenne : 51.719727
Bloc : 1,7 | Moyenne : 45.024414
Bloc : 1,8 | Moyenne : 55.044922
Bloc : 1,9 | Moyenne : 62.442383
Bloc : 1,10 | Moyenne : 61.208008
Bloc : 1,11 | Moyenne : 47.635742
Bloc : 1,12 | Moyenne : 56.151367
Bloc : 1,13 | Moyenne : 71.971680
Bloc : 1,14 | Moyenne : 59.986328
Bloc : 1,15 | Moyenne : 56.640625
Bloc : 1,16 | Moyenne : 69.669922
Bloc : 1,17 | Moyenne : 94.367188
Bloc : 1,18 | Moyenne : 91.055664
Bloc : 1,19 | Moyenne : 86.416016
Bloc : 1,20 | Moyenne : 87.770508
Bloc : 1,21 | Moyenne : 76.361328
Bloc : 1,22 | Moyenne : 76.899414
Bloc : 1,23 | Moyenne : 70.065430
Bloc : 1,24 | Moyenne : 58.436523
Bloc : 1,25 | Moyenne : 77.299805
Bloc : 1,26 | Moyenne : 77.868164
Bloc : 1,27 | Moyenne : 75.599609
Bloc : 1,28 | Moyenne : 82.041992
Bloc : 1,29 | Moyenne : 76.852539
Bloc : 1,30 | Moyenne : 60.964844
Bloc : 1,31 | Moyenne : 55.733398
Bloc : 2,0 | Moyenne : 83.693359
Bloc : 2,1 | Moyenne : 88.228516
Bloc : 2,2 | Moyenne : 74.633789
Bloc : 2,3 | Moyenne : 74.047852
Bloc : 2,4 | Moyenne : 77.723633
Bloc : 2,5 | Moyenne : 80.648438
Bloc : 2,6 | Moyenne : 79.374023
Bloc : 2,7 | Moyenne : 58.832031
